quote,author,book,tags,likes
"“God, my children, is the wilderness.”",Steven Erikson,Dust of Dreams,,1
"“Liars will lie, and continue to do so, even beyond being caught out. They will lie, and in time, such liars will convince themselves, will in all self-righteousness divest the liars of culpability. Until comes a time when one final lie is voiced, the one that can only be answered by rage, by cold murder, and on that day, blood”",Steven Erikson,Reaper's Gale,,1
"“No one valued the given heart, no one saw that sacrifice for the precious gift it was. No, just a thing to be grasped, twisted by uncaring hands, then wrung dry and discarded.”",Steven Erikson,Toll the Hounds,,1
"“..some say she is now nothing more than darkness manifest, a thing of absences so profound as to give the illusion of presence.”",Steven Erikson,Fall of Light,,1
"“Leisure is not a relevant notion. Consider the weariness that often afflicts your kind, late in their lives. Then multiply that countless times. This is the burden of being long-lived.”",Steven Erikson,Toll the Hounds,"aging, weariness",1
"“Expectation is the hoary curse of humanity. One can listen to words, and see them as the unfolding of a petal or, indeed, the very opposite: each word bent and pushed tighter, smaller, until the very packet of meaning vanishes with a flip of deft fingers. Poets and tellers of tales can be tugged by either current, into the riotous conflagration of beauteous language or the pithy reduction of the tersely colourless.”",Steven Erikson,Toll the Hounds,"humanity, word, words",1
"“The rush of the river was a voice, a presence. Water flowed indifferent to the heave and plunge of the sun, the shrouded moon and the slow spin of the stars. The sound reached them in a song without words, and all effort to grasp its meaning was hopeless, for, like the water itself, one could not grasp hold of sound. The flow was ceaseless and immeasurable and just as stillness did not in fact exist, so neither did true, absolute silence.”",Steven Erikson,Toll the Hounds,"silence, stillness, water",1
"“The notion of freedom could make even peace and order seem oppressive, generate the suspicion of some hidden purpose, some vast deceit, some unspecified crime being perpetrated beyond human ken. That was a generous way of looking at it; the alternative was to acknowledge that humans were intrinsically conflicted, cursed with acquisitive addictions of the spirit.”",Steven Erikson,Toll the Hounds,"freedom, oppression, peace, spirituality",1
"“You weep for this, Trull Sengar, because your love has not been answered, and there is no greater anguish than that.”",Steven Erikson,Reaper's Gale,,1
"“Pray, do not speak to me of weather Not sun, not cloud, not of the places Where storms are born I would not know of wind shivering the heather Nor sleet, nor rain, nor of ancient traces On stone grey and worn Pray, do not regale the troubles of ill health Not self, not kin, not of the old woman At the road’s end I will spare no time nor in mercy yield wealth Nor thought, nor feeling, nor shrouds woven To tempt luck’s send Pray, tell me of deep chasms crossed Not left, not turned, not of the betrayals Breeding like worms I would you cry out your rage ’gainst what is lost Now strong, now to weep, now to make fist and rail On earth so firm Pray, sing loud the wretched glories of love Now pain, now drunken, now torn from all reason In laughter and tears I would you bargain with the fey gods above Nor care, nor cost, nor turn of season To wintry fears Sing to me this and I will find you unflinching Now knowing, now seeing, now in the face Of the howling storm Sing your life as if a life without ending And your love, sun’s bright fire, on its celestial pace To where truth is born Pray, An End to Inconsequential Things Baedisk of Nathilog”",Steven Erikson,The Complete Malazan Book of the Fallen,,1
"“After all, war knows no other language. In war we invite our own destruction. In war we punish our children with a broken legacy of blood.”",Steven Erikson,Dust of Dreams,,1
"“Speaking of which, what’s your take on abortion?’ ‘Do you eat eggs?’ ‘Excuse me?’ ‘The unborn embryos of chickens, Samantha.”",Steven Erikson,Rejoice,,1
"“The world was filled with weapons and combat was a way of life. Perhaps the only way of life. He’d bled to whips and words, to punches and glances. He’d been bludgeoned by invisible shields, blindsided by unseen clubs, and had laboured under the chains of his own vows. And as Samar Dev would say, one survives by withstanding this onslaught, this history of the then and the now. To fail was to fall, but falling was not always synonymous with a quick, merciful death. Rather, one could fall into the slow dissolution, losses heaped high, that dragged a mortal to his or her knees. That made them slow slayers of themselves.”",Steven Erikson,Reaper's Gale,,1
"“And finally, Felisin. Ah, now who is this woman in a child's raiment? Pleasures of the flesh devoid of pleasure. Selves surrendered one after another. Kindness yearned for behind every cruel word she utters. She believes in nothing. A crucible fired clean, empty. Heboric possesses hands unseen and what they now grasp is a power and a truth that he cannot yet sense. Felisin's hands... ah, they have grasped and touched, they have been slick and they have been soiled, and yet have held nothing. Life slips through them like a ghost.”  
  ―",Steven Erikson,Deadhouse Gates,,1
"“Old men and the dead stood at the same wall, and while the dead faced it, old men held their backs to it. Beyond that wall was oblivion. They spoke from the end times, and both knew a need to lead the young onto identical paths, if only to give meaning to all they had known and all they had done.”",Steven Erikson,Midnight Tides,,1
"“Love could be such a squalid emotion: burning bright in the midst of pathos, the subject of pity and contempt, it blazed with brilliant stupidity all the same.”",Steven Erikson,Toll the Hounds,"emotion, love, pathos, pity, stupidity",1
"“Some thoughts, possessing a frightening kind of self-awareness, knew to hide deep beneath others, riding unseen the same currents, where they could grow unchallenged, unexposed by any horrified recognition. One could always sense them, of course, but that was not the same as slashing through all the obfuscation, revealing them bared to the harsh light and so seeing them wither into dust. The mind ran its own shell-game, ever amused at its own sleight of hand misdirection – in truth, this was how one tended to live, from moment to moment, with the endless exchange of denials and deference and quick winks in the mirror, even as inner proclamations and avowals thundered with false willpower and posturing conviction.”",Steven Erikson,Toll the Hounds,"denial, self-awareness, thought",1
"“Describe for me, if you can, the nature of this wisdom.’
Anomander snorted impatiently. ‘Wisdom is surrender.’
‘To what?’
‘Complexity.’
‘To what end?’
‘Swallow it down, spit it out in small measures, to make palatable what many may not otherwise comprehend.’
‘An arrogant pose, First Son.’
‘I do not claim it, Azathanai, just as I refuse for myself the notion of rule. And, in the name of worship, I am lost in doubt, if not outright disbelief.’
‘And why is that?’
‘Power does not confer wisdom, nor rightful authority, nor faith in either of the two. If it offers a caress, so too can it by force make one kneel. The former is by nature suspect, while the latter — well, it can at least be said that it does not disguise its truth.’
‘You learn for liberty.’
‘If I do, then I am the greater fool, because liberty is not in itself a virtue. It wins nothing but the false belief in one's own utterly unassailable independence. even the beasts will not plunge to that depth. No, if I yearn for anything, it is for responsibility. An end to the evasions, the lies spoken in the mind and the lies spoken to others, the endless game of deeds without blame, and all the causes of seeming justice behind which hide venal desires. I yearn for the coward's confession, and understand me well here, Caladan: we are all cowards.”",Steven Erikson,Fall of Light,wisdom,1
"“Kuru Qan once told me that grieving had nothing to do with the ones gone, and everything to do with the ones left behind. We feel the absences in our life like open wounds, and they never really close, no matter how many years pass.”",Steven Erikson,The Crippled God,,1
"“Choices fall away, without you even noticing, until there are very few left, and you realize that you are nothing but what you are.”",Steven Erikson,The Crippled God,,1
"“Because true friends knew when to keep silent, to give all the patience needed.”",Steven Erikson,The Crippled God,patience,1
"“It plagues the young, this need to find reasons for things.”",Steven Erikson,The Crippled God,the-young,1
“A state that employs torture invites barbarism and deserves nothing better than to suffer the harvest of its own excesses.”,Steven Erikson,Dust of Dreams,civilisation,1
"“Karos Invictad took pleasure in cruelty, making him both pathetic and dangerous. If he were permitted to continue, there was the very real risk that the Letherii people would rise up in true rebellion, and the gutters in every city of the empire would run crimson.”",Steven Erikson,Reaper's Gale,,0
"“where the thug in red silks failed was in understanding that thresholds existed, and to cross them – with ever greater acts of brutality, with paranoia and fear an ever-rising fever – was to see the illusion shattered. At some point, no matter how repressive the regime, the citizenry will come to comprehend the vast power in their hands. The destitute, the Indebted, the beleaguered middle classes; in short, the myriad victims. Control was sleight of hand trickery, and against a hundred thousand defiant citizens, it stood no real chance. All at once, the game was up.”",Steven Erikson,Reaper's Gale,,0
"“What terrible cost would we face if we just left each other alone? An end to this squabble over land – Father Shadow knows, no-one really owns it. The game of possession belongs to us, not to the rocks and earth, the grasses and the creatures walking the surface in their fraught struggle to survive. A bolt of lightning descends. A wild bhederin is struck and nearly explodes, as if life itself is too much to bear. The world is harsh enough. It does not need our deliberate cruelties. Our celebration of viciousness.”",Steven Erikson,Reaper's Gale,,0
"“The end,’ Senior Assessor said, ‘is never what you imagine. Be comforted by that, my friends.”",Steven Erikson,Reaper's Gale,,0
"“his life had been rather headlong. He felt as if he was plunging down a steep hill, for ever but one step from bone-snapping, blood-spraying disaster. Used to be he thrived on such feelings. Proof that he was alive. Yet…too many friends had fallen to the wayside on the journey. Far too many, and he was reluctant to let others take their places”",Steven Erikson,Reaper's Gale,,0
"“improbabilities is a word few children know, and even if they did, why, they would dismiss the notion with a single hand fluttering overhead as they danced to the horizon. Because it will not do to creep timorously into the future, no, one should leap, sail singing through the air, and who can say where one’s feet will finally set down on this solid, unknown land?”",Steven Erikson,Toll the Hounds,,0
"“The quest was drawing to a close. Just as well. Nothing worse, as far as he was concerned, than those legends of old when the stalwart, noble adventurers simply went on and on, through one absurd episode after another, with each one serving some arcane function for at least one of the wide-eyed fools, as befitted the shining serrated back of morality that ran the length of the story, from head to tip of that long, sinuous tail. Legends that bite. Yes, they all do. That’s the point of them. But not this one, not this glorious quest of ours. No thunderous message driving home like a spike of lightning between the eyes. No tumbling cascade of fraught scenes ascending like some damned stairs to the magical tower perched on the mountain’s summit, where all truths were forged into the simple contest of hero against villain. Look at us! What heroes? We’re all villains, and that tower doesn’t even exist. Yet.”",Steven Erikson,Reaper's Gale,,0
"“the entire notion of cause and effect, suddenly revealing its true level of complexity, simply overwhelmed.”",Steven Erikson,Reaper's Gale,,0
“Corruption and incompetence. These were rebellion’s sparks.”,Steven Erikson,Reaper's Gale,,0
"“Ain’t nothing so tensifying as running for your life at a snail’s pace,”  
  ―",Steven Erikson,Toll the Hounds,,0
"“Ain’t nothing so tensifying as running for your life at a snail’s pace, let me tell you,”",Steven Erikson,Toll the Hounds,,0
“The existence of many gods conveys true complexity of mortal life.”,Steven Erikson,The Bonehunters,,0
"“Let’s play a game. There is no gate – oh, you’ve seen it, I well know. But it is a lie. It is what your mind builds, stone by stone. For your kind love borders. Thresholds, divisions, delineations. To enter a place you believe you must leave another. But look around and you can see. There is no gate, my friend.”",Steven Erikson,Reaper's Gale,,0
"“the truth of imagination: that it was a weapon the mind drew at every turn, yet as deadly to its wielder as to its conjured foes. Wisdom arrived as one’s skill with that weapon grew – we fight every battle with our imaginations: the battles within, the battles in the world beyond. This is the truth of command, and a warrior must learn command, of oneself and of others.”",Steven Erikson,Reaper's Gale,,0
"“Be assured, Torvald, Kruppe’s friend, that “bad” is never as bad as bad might be, even when it’s very bad indeed.”",Steven Erikson,Toll the Hounds,,0
"“The castellan is bundled like a corpse and you don’t find that somewhat unusual?’ ‘Could be afraid of the sun or something. No reason to be suspicious. You never met any strange people in your day, Tor?’ And Torvald Nom glanced across at Scorch, and found he had no reply to that at all.”",Steven Erikson,Toll the Hounds,,0
"“Life stumbles on – although the exception is none other than Kruppe himself, for whom life dances. Extraordinary, how such truth rubs so many so wrongly; why, can one’s very existence prove sufficient for such inimical outrage? Seems it can, oh yes, most certainly. There are always those, dear friend, for whom a wink is an insult, a smile a taunt. For whom humour alone is cause for suspicion, as if laughter was sly contempt.”",Steven Erikson,Toll the Hounds,,0
"“is it not true that, from one year to the next, we each ourselves are capable of changes so fundamental that our present selves can in no reasonable way be considered equal to our past selves? If the rule does not apply even within our own individual lives, how can one dare hope to believe that it pertains collectively?”",Steven Erikson,Toll the Hounds,,0
"“In those last years, Mappo had heard, Trynigarr, his tongue loosened by drink, had talked often, filling the air with slurred, meaningless words and fragmented remembrances. So many words, not one wise, to fill what had once been the wisest of silences.”",Steven Erikson,The Bonehunters,,0
"“everything – now sank beneath a familiar cloud, settling grey and thick, where every shape was but hinted at, where he was lost. As lost as he had been, as lost as any and every mortal soul, no matter how blustery its claims to certainty, to faith. And yet…and yet it was a warm cloud, shot through with precious things: his love for his wife, his children; his wonder at their lives, the changes that came to them day by day. He found he was weeping, even as he climbed to his feet.”",Steven Erikson,Toll the Hounds,,0
"“Kallor never failed such moments. Let the curse flail him, strike him down; let defeat batter him again and again. He would just get back up, shake the dust off, and begin once more. He knew the world was damned.”",Steven Erikson,Toll the Hounds,,0
"“He knew that the curse haunting him was no different from history’s own progression, the endless succession of failures, the puerile triumphs that had a way of falling over as soon as one stopped looking. Or caring. He knew that life itself corrected gross imbalances by simply folding everything over and starting anew.”",Steven Erikson,Toll the Hounds,,0
"“Not all instincts guide one to behaviours of survival. Life is mired in stupidity, after all, and the smarter the life, the stupider it can be.”",Steven Erikson,Toll the Hounds,,0
"“It is the curse of leaders to believe they can truly change the world. A curse that has even afflicted me, it seems.”",Steven Erikson,Reaper's Gale,,0
"“After all, tyranny has no sense of humour. Too thin-skinned, too thoroughly full of its own self-importance. Accordingly, it presents an almost overwhelming temptation – how can I not be excused the occasional mockery? Alas, the Patriotists lacked flexibility in such matters – the deadliest weapon against them was derisive laughter, and they knew it.”",Steven Erikson,Reaper's Gale,,0
"“How he knew no one could say. How he thought, no one could imagine. How deep and vast his love, no one could conceive.”",Steven Erikson,Toll the Hounds,,0
"“He was a man who would never ask for sympathy. He was a man who sought only to do what was right. Such people appear in the world, every world, now and then, like a single refrain of some blessed song, a fragment caught on the spur of an otherwise raging cacophony.”",Steven Erikson,Toll the Hounds,,0
"“He was a man who would never ask for sympathy. He was a man who sought only to do what was right. Such people appear in the world, every world, now and then, like a single refrain of some blessed song, a fragment caught on the spur of an otherwise raging cacophony. Imagine a world without such souls. Yes, it should have been harder to do.”",Steven Erikson,Toll the Hounds,,0
"“The future, my friend, is ever turned away, even when it faces us.”",Steven Erikson,Toll the Hounds,,0
"“So many fallen,’ she said to Saddic who remembered everything. ‘I could list them. I could make them into a book ten thousand pages long. And people will read it, but only so far as their own private borders, and that’s not far. Only a few steps. Only a few steps.’ Saddic, who remembered everything, he nodded and he said, ‘One long scream of horror, Badalle. Ten thousand pages long. No one will hear it.’ ‘No,’ she agreed. ‘No one will hear it.’ ‘But you will write it anyway, won’t you?’ ‘I am Badalle, and all I have is words.’ ‘May the world choke on them,’ said Saddic, who remembered everything.”  
  ―",Steven Erikson,Dust of Dreams,,0
"“maybe just confused. All those bickering worshippers, each one convinced their version is the right one. Imagine getting prayers from ten million believers, not one of them believing the same thing as the one kneeling beside him or her. Imagine all those Holy Books, not one of them agreeing on anything, yet all of them purporting to be the word of that one god. Imagine two armies annihilating each other, both in that god’s name. Who wouldn’t be driven mad by all that?’ ‘Well,’ Cutter said into the silence that followed Scillara’s diatribe, ‘the tea’s ready.”",Steven Erikson,The Bonehunters,,0
"“Behold these joyful devourers The land laid out skewered in silver Candlesticks of softest pewter Rolling the logs down cut on end To make roads through the forest That once was—before the logs (Were rolled down cut on end)— We called it stump road and we Called it forest road when Our imaginations starved You can make fans with ribs Of sheep and pouches for baubles By pounding flat the ears Of old women and old men— Older is best for the ear grows For ever it’s said, even when There’s not a scrap anywhere to eat So we carried our wealth In pendulum pouches wrinkled And hairy, diamonds and gems Enough to buy a forest or a road But maybe not both Enough even for slippers of Supplest skin feathered in down Like a baby’s cheek There is a secret we know When nothing else is left And the sky stops its tears A belly can bulge full On diamonds and gems And a forest can make a road Through what once was You just won’t find any shade PENDULUMS WERE ONCE TOYS
BADALLE OF KORBANSE SNAKE”",Steven Erikson,Dust of Dreams,,0
"“Beware the leader who has nothing to lose.’ Her people were proud of their wise sayings. And yet now, in their mortal silence, wisdom and pride proved a perfect match in value. Namely: worthless.”",Steven Erikson,Dust of Dreams,,0
"“Inventions cast moral shadows, she well knew, better than most, in fact. But…could simple convenience prove so perniciously evil? The action of doing things, laborious things, repetitive things, such actions invited ritual, and with ritual came meaning that expanded beyond the accomplishment of the deed itself. From such ritual self-identity emerged, and with it self-worth. Even so, to make life easier must possess some inherent value, mustn’t it?”",Steven Erikson,The Bonehunters,,0
“To lie with a lover was to celebrate the creation of fire. From this in the flesh to the world beyond.”,Steven Erikson,The Bonehunters,,0
"“Fanaticism was poison in the soul, and the first victim in its inexorable, ever-growing list was compassion. Who could speak of freedom, when one’s own soul was bound in chains?”",Steven Erikson,The Bonehunters,,0
"“Each night, in his dreams, he wept, and would awaken to find that what had plagued his dreams had pushed through the barrier of sleep, and he would lie beneath the furs, shivering with something like a fever. A sickness in truth, born of dread, guilt and shame. Too many failures, too many bad judgements; he had been stumbling, blind, for so long.”",Steven Erikson,The Bonehunters,,0
"“our greatest enemies are those who are without certainty. The ones with questions, the ones who regard our tidy answers with unquenchable scepticism. Those questions assail us, undermine us. They…agitate. Understand, these dangerous citizens understand that nothing is simple; their stance is the very opposite of naivety. They are humbled by the ambivalence to which they are witness, and they defy our simple, comforting assertions of clarity, of a black and white world. Yathvanar, when you wish to deliver the gravest insult to such a citizen, call them naive. You will leave them incensed; indeed, virtually speechless…until you watch their minds back-tracking, revealed by a cascade of expressions, as they ask themselves: who is it that would call me naive? Well, comes the answer, clearly a person possessing certainty, with all the arrogance and pretension that position entails; a confidence, then, that permits the offhand judgement, the derisive dismissal uttered from a most lofty height. And”",Steven Erikson,Reaper's Gale,,0
"“In self-proclamation, the soul decided what it was that lay within in opposition to all that lay beyond. Inside, outside, familiar, strange, that which is possessed, that which is coveted, all that is within grasp and all that is forever beyond reach. The distinction was a deep, vicious cut of a knife, severing tendons and muscles, arteries and nerves. A knife?”",Steven Erikson,Dust of Dreams,,0
"“Poison in that touch, yet not fatal, just intoxicating. Sweet, yet perhaps, ultimately, deadly. This is what comes of…comfort. Yet, he could well see, the reward of comfort was not available to all; indeed, it seemed disturbingly rare. While those who possessed wealth clearly exulted in its display, that very ostentation underscored the fact that they were a distinct minority. But that imbalance was, he now understood, entirely necessary. Not everyone could be rich – the system would not permit such equity, for the power and privilege it offered was dependent on the very opposite.”",Steven Erikson,Reaper's Gale,,0
"“Entire ages converged, in chaos and tumult, in the anarchy of Nature itself. And more often than not, very few comprehended the disaster erupting all around them. No, they simply went on day after day with their pathetic tasks, eyes to the ground, pretending that everything was just fine. Nature wasn’t interested in clutching their collars and giving them a rattling shake, forcing their eyes open. No, Nature just wiped them off the board. And, truth be told, that was pretty much what they deserved. Not a stitch more.”",Steven Erikson,Toll the Hounds,,0
"“Compassion is not a replacement for stupidity. Tearful concern cannot stand in the stead of cold recognition. Sympathy does not cancel out the hard facts of brutal, unwavering observation. It was too easy, too cheap, to fret and wring one’s hands, moaning with heartfelt empathy – it was damned self-indulgent, in fact, providing the perfect excuse for doing precisely nothing while assuming a pious pose. Enough of that.”",Steven Erikson,Toll the Hounds,,0
"“My Queen, neither mortal nor immortal can fathom the mind of an artist. But as a general rule, between two possible answers, choose the more sordid one.’ ‘Of course. How silly of me.”",Steven Erikson,Dust of Dreams,,0
“There was music in death. Actors and musicians knew this as true.”,Steven Erikson,The Bonehunters,,0
"“The most deadly seducers are the ones encouraging conformity. If you can only feel safe when everybody else feels, thinks and looks the same as you, then you’re a Hood-damned coward…not to mention a vicious tyrant in the making.”",Steven Erikson,The Bonehunters,,0
"“There had been plenty of altars before which she had knelt over the years, and from them, one and all, Torahaval Delat had discovered something she now held to be true. All that is worshipped is but a reflection of the worshipper. A single god, no matter how benign, is tortured into a multitude of masks, each shaped by the secret desires, hungers, fears and joys of the individual mortal, who but plays a game of obsequious approbation.”",Steven Erikson,The Bonehunters,,0
"“Poor girl – I should never have tormented her so. But…show me a merciful child and I will truly avow a belief in miracles, and I’ll throw in my back-pay besides. It was her over-sensitivity that done her in. Still, what’s life without a few thousand regrets?”",Steven Erikson,The Bonehunters,,0
"“Apocalypse is rarely sudden; no, among these mortals, it creeps slow, yet inevitable, relentless in its thorough obliteration of life, of health, of beauty.”",Steven Erikson,The Bonehunters,,0
"“She seemed doomed ever to open her arms to the wrong lover, to love fully yet never be so loved in return. It made her pathetic stock in this retinue of squandered opportunities that scrawled out the history of a clumsy life. Could she live with that? Without plunging into self-pity? Time would tell, she supposed. Scillara packed her pipe, struck sparks and drew deep. A sound behind her made her turn— As Barathol stepped close, one hand sliding up behind her head, leaned forward and kissed her. A long, deep, determined kiss. When he finally pulled away, she gasped. Eyes wide, staring up into his own. He said, ‘I am a blacksmith. If I need to forge chains to keep you, I will.’ She blinked, and then gave him a throaty laugh. ‘Careful, Barathol. Chains bind both ways.’ His expression was grave. ‘Can you live with that?’ ‘Give me no choice.”",Steven Erikson,Toll the Hounds,,0
"“Kruppe has always considered you mere aspects of himself, a half-dozen Hungers among many, as it were. Yet, for all your needs, you would urge what of your master? That he turn back from his flight, of course. That one’s own skull is too worthy a chamber for deception to reign—and yet Kruppe assures you from long experience that all deceit is born in the mind and there it is nurtured while virtues starve.”  
  ―",Steven Erikson,Gardens of the Moon,,0
"“Felisin became dully aware of something, as if the hot wind breathed a new menace into the night air. The chatter of the militiamen, she noted, had fallen away, and signs of nervousness were evident. She extracted another button of durhang and popped it into her mouth, where it rested cool and sweet between cheek and gum. “Watching you do that,” Beneth muttered, “reminds me of Sawark.” She blinked. “Sawark?” “Aye. The worse things get, the more he shuts his eyes.” Her words came out slurred. “And what things are getting worse?”",Steven Erikson,Deadhouse Gates,,0
"“What are gods, after all, if not the perfect victims?” He smiled, raising his hands and fluttering his fingers. “For Kruppe, whose sleight of hand is matched only by his sleight of mind? Perfect victims of confidence, claims Kruppe, ever blinded by arrogance, ever convinced of infallibility. Is it not a wonder that they have survived this long?”",Steven Erikson,Gardens of the Moon,,0
"“Gifts are not easily attained, nor are Virtues, nor are Doubts easily overcome, and Hungers are ever the impetus to climbing.”",Steven Erikson,Gardens of the Moon,,0
"“Like a bed of gold in a mountain stream, a blurred gleam swimming before his eyes. Udinaas leaned back, only now fully feeling the leaden weight of his exhausted muscles, slung like chains from his bones.”",Steven Erikson,Midnight Tides,,0
"“It’s a storm,’ he said after a moment. ‘Storms pass. I need a reason to procrastinate.”",Steven Erikson,Midnight Tides,,0
"“You should be more sympathetic to Ublala, master,’ Bugg said over a shoulder. ‘He’s a very unhappy man.’ ‘Sympathy belongs to the small-membered, Bugg. Ublala has three women drooling all over him, or have you forgotten?’ ‘That’s a rather disgusting image.’ ‘You’ve been too old too long, dear servant. There’s nothing inherently disgusting about drool.’ He paused, then said, ‘All right, maybe there is. However, do we have to talk about sex? That subject makes me nostalgic.”",Steven Erikson,Midnight Tides,,0
"“Old men and the dead were the first whisperers of the word vengeance. Old men and the dead stood at the same wall, and while the dead faced it, old men held their backs to it. Beyond that wall was oblivion. They spoke from the end times, and both knew a need to lead the young onto identical paths, if only to give meaning to all they had known and all they had done.”",Steven Erikson,Midnight Tides,,0
"“Does it ever strike you, Finadd, that peace leads to an indulgence in strife?’ ‘No, since your statement is nonsensical. The opposite of peace is war, while war is an extreme expression of strife. By your argument, life is characterized as an oscillation between strife during peace and strife during war.’ ‘Not entirely nonsensical, then,’ Turudal Brizad said. ‘We exist in a state of perpetual stress. Both within ourselves and in the world beyond.’ He shrugged. ‘We may speak of a longing for balance, but in our soul burns a lust for discord.”",Steven Erikson,Midnight Tides,,0
"“And what value is all that pride you seek, Rhulad Sengar? You mortals baffle me. It is a fool’s curse, to measure oneself in endless dissatisfaction.”",Steven Erikson,Midnight Tides,,0
"“got nothing against them—’ ‘They don’t like you.’ ‘They don’t? Why?’ ‘No reason. They just don’t.’ ‘Then I don’t like them either.’ ‘So you say, but I haven’t seen any proof.’ ‘You want proof? Good. Let’s go.’ Shurq hooked one arm in Ublala’s and led him towards the far edge of the roof. ‘We have to jump to that other roof,’ she said. ‘I don’t think you can do it, Ublala. Not quietly, anyway.’ ‘Yes I can. I’ll show you I can.’ ‘We’ll see…’ Tehol stared after them, then he swung to Bugg. The manservant shrugged. ‘It’s the complexities of the male mind, master.”",Steven Erikson,Midnight Tides,,0
"“from a burning tenement block spread an acrid haze that made breathing tortured. They rode through the silent aftermath of slaughter, when the rage has passed and awareness returns with shock and shame. The moment was a single indrawn breath in what Fiddler knew would be an ever-burgeoning wildfire.”",Steven Erikson,Deadhouse Gates,,0
"“The face of wealth stayed mostly hidden, leaving only the ravaged mien of poverty, and that was at times almost overwhelming. Beyond the Indebted were the lost, those who had given up entirely, and among them could be seen not just refugees from annexed tribes, but Letherii as well—more than he would have imagined. For all the explosive growth driving the kingdom, it seemed an ever greater proportion of the population was being left behind, and that was troubling. At what point in the history of Letheras, he wondered, did rampant greed become a virtue? The level of self-justification required was staggering in its tautological complexity, and it seemed language itself was its greatest armour against common sense.”",Steven Erikson,Midnight Tides,,0
"“You can’t leave all these people behind. They’re outside the endless excitement and lust, the frenzied accumulation. They’re outside and can only look on with growing despair and envy. What happens when rage supplants helplessness? Increasingly, the ranks of the military were filling with the lowest classes. Training, acceptable income and a full belly provided the incentives, yet these soldiers were not enamoured of the civilization they were sworn to defend.”",Steven Erikson,Midnight Tides,,0
"“The beast was a nightmare, close to nine feet tall, crouching on two thin hind limbs. A lone foreleg, long and multijointed, jutted down from its strangely bifurcated chest. From a hunched, angular shoulder blade, the demon’s sinuous neck rose to a flat, elongated head.”",Steven Erikson,Deadhouse Gates,,0
"“he’d stayed, nailed to a single tree but only because he’d grown used to the scenery around it. It was amazing what could be endured when in the grip of inertia. He had reached a point where anything strange, unfamiliar, was cause for fear. But unlike his brothers and sisters, Mappo could not ride that fear across the full span of his life. For all that, it had taken the horror he now approached to prise him from the tree.”",Steven Erikson,Deadhouse Gates,,0
"“Badalle thought that Saddic’s book should hold vast numbers of blank pages, to mark such silences and all they contained. The truths and the lies, the needs and the wants. The nows and the thens, the theres and the heres. If she saw such pages, and could crisp back each one, one after another, she would nod, remembering how it was. How it was.”",Steven Erikson,Dust of Dreams,,0
"“The historian rode out into the battlefield, almost desperate to rejoin the army. It was not a time to be alone, in the heart of slaughter, where every piece of wreckage or burned and torn flesh seemed to cry out silent outrage. Sites of battle held on to a madness, as if the blood that had soaked into the soil remembered pain and terror and held locked within it the echoes of screams and death cries.”",Steven Erikson,Deadhouse Gates,,0
"“Duiker’s imaginings were the product of fear, the all too human need to conjure symbolic meaning from meaningless events. Nothing more.”",Steven Erikson,Deadhouse Gates,,0
"“I hate myself, but he hates everyone else. Which of us has lost the most?”",Steven Erikson,Deadhouse Gates,,0
"“The notion of a life spent tilling fields was repellent to the Teblor warrior. The rewards seemed to be exclusive to the highborn landowners, whilst the labourers themselves had only a minimal existence, prematurely aged and worn down by the ceaseless toil. And the distinction between high and low status was born from farming itself—or so it appeared to Karsa. Wealth was measured in control over other people, and the grip of that control could never be permitted to loosen. Odd, then, that this rebellion had had nothing to do with such inequities, that in truth it had been little more than a struggle between those who would be in charge. Yet the majority of the suffering had descended upon the lowborn, upon the common folk. What matter the colour of the collar around a man’s neck, if the chains linked to them were identical?”  
  ―",Steven Erikson,House of Chains,,0
“To be believed in is an obligation. Only by heeding that obligation are you made worthy of that belief.”,Steven Erikson,The God is Not Willing: The First Tale of Witness,,0
"“Why not worship money? At least its rewards are obvious and immediate. But no, that was simplistic. Letherii worship was more subtle, its ethics bound to those traits and habits that well served the acquisition of wealth. Diligence, discipline, hard work, optimism, the personalization of glory. And the corresponding evils: sloth, despair and the anonymity of failure.”",Steven Erikson,Midnight Tides,,0
"“The lessons of civilization.’ ‘Just so. There’s little value in seeking to find reasons for why people do what they do, or feel the way they feel. Hatred is a most pernicious weed, finding root in any kind of soil. It feeds on itself.”",Steven Erikson,House of Chains,,0
"“Form an opinion, say it often enough and pretty soon everyone’s saying it right back at you, and then it becomes a conviction, fed by unreasoning anger and defended with weapons of fear. At which point, words become useless and you’re left with a fight to the death.’ Karsa grunted. ‘A fight beyond death, I would say.’ ‘True enough. Generation after generation.”",Steven Erikson,House of Chains,,0
"“Perhaps that is the truth of madness, when a mind can do nothing but make endless lists of the mundane tasks awaiting it, as proof of its sanity. Mend those nets. Wind those strands. See? I have not lost the meaning of my life.”",Steven Erikson,Midnight Tides,,0
"“The lowlanders filled this world like vermin—more tribes than the Teblor had thought possible, and it was clear that none liked each other. While that was a sentiment Karsa well understood—for tribes should dislike each other—it was also obvious that, among the lowlanders, there was no sense of any other sort of loyalty. Karsa was Uryd, but he was also Teblor. The lowlanders seemed so obsessed with their differences that they had no comprehension of what unified them. A flaw that could be exploited.”",Steven Erikson,House of Chains,,0
